reviewScore,genres,runtime,name,titleId
7.2,Drama,,Sofra sirlari,tt5845758
8.2,"Action,Thriller",121 min,Mandy,tt6998518
1.7,"Action,Sci-Fi",85 min,Atlantic Rim: Resurrection,tt7963218
5.2,"Biography,Drama,Music",100 min,Veljeni vartija,tt6591616
6.4,Drama,150 min,Forever Young,tt2401825
5.0,"Action,Horror,Sci-Fi",85 min,The Lotus,tt3310896
4.3,"Drama,Fantasy,Horror",90 min,House of Demons,tt5886388
3.3,"Horror,Mystery",73 min,Selfie from Hell,tt5686622
3.9,Horror,92 min,Headgame,tt4518962
6.6,"Comedy,History",90 min,Return of the Hero,tt7064498
7.3,Drama,146 min,Hey Jude,tt6385856
8.1,"Biography,Drama",155 min,Aami,tt6689734
8.6,Action,,Tagaru,tt7938336
5.9,"Comedy,Fantasy,Sci-Fi",105 min,Sorry to Bother You,tt5688932
5.4,Comedy,149 min,Oru Nalla Naal Paarthu Soldren,tt7512624
6.7,Comedy,87 min,Sin rodeos,tt6981702
6.7,"Drama,Thriller",105 min,Çocuklar Sana Emanet,tt7748432
9.6,Drama,153 min,The Little God,tt8029242
7.9,Action,96 min,The Oscar Nominated Short Films 2018: Live Action,tt7935892
7.4,Drama,129 min,Burden,tt5314450
5.2,"Drama,Horror,Thriller",112 min,Lords of Chaos,tt4669296
6.9,Drama,101 min,Transit,tt6675244
7.8,Drama,113 min,Sunday's Illness,tt6053948
5.9,Comedy,91 min,Mannen van Mars,tt6868684
7.3,"Drama,Romance,Sci-Fi",85 min,Ederlezi Rising,tt5215088
6.8,Comedy,102 min,Amateurs,tt7893992
6.7,"Comedy,Drama",108 min,Pig,tt7429708
9.0,War,140 min,Sajjan Singh Rangroot,tt7762982
7.7,"Comedy,Drama",118 min,Thang Nam Ruc Ro,tt8081638
7.7,Drama,,Love for Sale,tt8065796
7.3,"Comedy,Drama,Family",120 min,Keys to the Heart,tt6985200
4.7,Comedy,100 min,Todo Mal,tt6131126
3.4,"Comedy,Drama,Horror",88 min,Hens Night,tt5176648
2.3,"Action,Thriller,War",110 min,Bordo Bereliler Afrin,tt7949178
3.2,Comedy,,Como va,tt5507934
6.2,"Drama,Horror,Mystery",105 min,Summer of 84,tt5774450
3.8,Thriller,86 min,A Deadly View,tt6792478
7.1,Drama,93 min,Die defekte Katze,tt7733426
7.3,Drama,112 min,Hadi Be Oglum,tt7628458
7.7,"Crime,Thriller",129 min,Street Lights,tt6680730
8.2,"Action,History,Thriller",118 min,Direnis Karatay,tt7336446
7.0,"Drama,Musical,Romance",113 min,Ice,tt5844488
4.5,"Action,Drama",110 min,Samson,tt6951892
8.3,Animation,102 min,The Legend of Muay Thai: 9 Satra,tt7717440
5.1,"Crime,Thriller",96 min,Bent,tt2237324
1.0,"Comedy,Fantasy",105 min,Badang,tt7923374
8.0,"Action,Adventure,Crime",,Trouble Is My Business,tt2243900
7.2,"Drama,War",123 min,Bankier van het Verzet,tt4610378
6.6,"Comedy,Thriller",112 min,Kaalakaandi,tt6102396
5.9,Drama,102 min,First Match,tt6061074
9.1,Horror,84 min,The Campus,tt6772946
7.2,"Comedy,Drama",149 min,Humble Politician Nograj,tt6577798
5.7,Drama,90 min,A Tale of Two Coreys,tt6998122
6.5,Horror,91 min,Ghostland,tt6195094
7.2,"Comedy,Drama,Romance",90 min,The Miseducation of Cameron Post,tt6257174
3.5,"Crime,Drama,Thriller",131 min,Hate Story IV,tt5325684
7.3,"Drama,Horror,Mystery",126 min,Hereditary,tt7784604
5.5,"Comedy,Romance",101 min,Agent Mr. Chan,tt7759626
7.5,Animation,85 min,La Leyenda del Charro Negro,tt6772418
8.3,"Action,Crime,Drama",95 min,Pickings,tt4789822
2.9,Fantasy,96 min,Babes with Blades,tt7656770
4.7,Horror,88 min,The Devil's Well,tt5987042
7.7,Drama,,National Theatre Live: Cat on a Hot Tin Roof,tt7510284
4.5,Comedy,131 min,Veerey Ki Wedding,tt7262178
6.2,Thriller,81 min,Piercing,tt6516314
9.4,Thriller,67 min,Shohrat the Trap,tt8085616
4.6,"Comedy,Romance",,Cómplices,tt4138254
7.8,"Action,Comedy,Sci-Fi",95 min,Upgrade,tt6499752
6.4,Thriller,93 min,Los Angeles Overnight,tt4374864
5.5,Comedy,82 min,(Girl)Friend,tt7491128
7.9,Biography,,Lee Chong Wei,tt7967954
8.0,Thriller,105 min,Profile,tt7826276
5.4,Drama,174 min,My Brother's Name Is Robert and He Is an Idiot,tt3552348
6.7,Comedy,118 min,River's Edge,tt7476946
6.0,Comedy,108 min,An Evening with Beverly Luff Linn,tt6518270
7.0,"Comedy,Romance",124 min,Dil Juunglee,tt6071752
5.9,"Comedy,Romance",,Yemaali,tt7920010
6.5,Comedy,90 min,Swingeri,tt7795376
7.6,Drama,108 min,Leave No Trace,tt3892172
5.8,Western,,Gone Are the Days,tt5503472
8.8,Western,,Wild Faith,tt5960386
